いろ iro
あかい akai
あおい aoi
きいろい kiiroi
みどり midori
むらさき murasaki
はいいろ haiiro
しろ shiro
くろ　kuro
ちゃいろ chairo
みずいろ mizuiro
ももいろ momoiro
くらい kurai
あかるい akarui
うすい usui
こい koi
ありがとう arigatoo
ごめんなさい gomennasai
すみません sumimasen
できます dekimasu
できません dekimasen
にほんご nihongo
えいご eigo
わかりません wakarimasen
わかります wakarimasu
わかりますか wakarimasuka
ください kudasai
たべましょう tabemashoo
いただきます itadakimasu
おいしい oishii
まずい mazui
さむい samui
あつい atsui
いりません irimasen
きもち kimochi
こころ kokoro
うれしい ureshii
よろこぶ yorokobu
かなしい kanashii
たのしい tanoshii
わらう warau
さびしい sabishii
くるしい kurushii
こわい kowai
はずかしい hazukashii
かんじる kanjiru
はじめましょう hajimemashoo
みてください mitekudasai
よんでください yondekudasai
かいてください kaitekudasai
きいてください kiitekudasai
どうぶつ doobutsu
ねこ neko
ゴキブリ gokiburi
うし ushi
きょうりゅう kyooryuu
いぬ inu
いるか iruka
さかな sakana
かえる kaeru
うま uma
てんとうむし tentoomushi
さる saru
ふくろう fukuroo
ひつじ hitsuji
ぶた buta
はと hato
さめ same
へび hebi
りす risu
しちめんちょう shichimenchoo
うみがめ umigame
くじら kujira
むし mushi
しまうま shimauma
おはよう ohayoo
おやすみなさい oyasuminasai
いただきます itadakimasu
はじめまして hajimemashite
さようなら sayoonara
たべる taberu
たべもの tabemono
のむ nomu
のみもの nomimono
しょくりょうひん shokuryoohin
にく niku
ぎゅうにく gyuuniku
ぶたにく butaniku
とりにく toriniku
たこ tako
やさい yasai
じゃがいも jagaimo
みかん mikan
りんご ringo
いちご ichigo
かんじ kanji
たんご tango
しゅくだい shukudai
めいし meishi
けいようし keiyooshi
