オレンジ orenji
ピンク pinku
フェレット feretto
ムース muusu
トマト tomato
レモン remon
パイナップル painappuru
メロン meron
ボタン　botan
ドア doa
フィルム　firumu
グラム guramu
ホテル hoteru
カメラ kamera
カップ kappu
クラス kurasu
マッチ macchi
ナイフ naifu
ネクタイ nekutai
パン pan
ペン　pen
ペット petto
ポケット poketto
レストラン resutoran
シャツ shatsu
スリッパ surippa
テレビ terebi
ゼロ zero
ライト raito
デスク desuku
マクドナルド makudonarudo
ピエロ piero
ウイルス uirusu
メイク meiku
フライドポテト furaidopoteto
パソコン pasokon
スナック sunakku
スマート smaato
ヒップ hippu
トランプ toranpu
